"fourgram1","fourgram2","fourgram3","fourgram4","n"
NA,NA,NA,NA,70
"thanks","for","the","follow",7
"thanks","for","the","rt",5
"thanks","so","much","for",5
"glad","you","like","it",4
"is","going","to","be",4
"lies","lies","lies","lies",4
"thank","you","so","much",4
"a","lot","of","people",3
"are","having","a","great",3
"brenda","brenda","brenda","brenda",3
"can't","wait","to","see",3
"for","the","first","time",3
"hope","all","is","well",3
"hope","you","are","having",3
"i","am","going","to",3
"i","am","trying","to",3
"i","want","to","be",3
"i","was","able","to",3
"it's","going","to","be",3
"one","of","the","best",3
"see","you","at","the",3
"so","much","for","the",3
"so","proud","of","you",3
"thank","you","for","the",3
"thanks","for","the","ff",3
"thanks","for","the","retweet",3
"you","are","having","a",3
